Fecha/hora inicio,Fecha/hora fin,Temperatura almacén principal (media),Humedad almacén principal (media),Temperatura almacén producción (media),Humedad almacén producción (media),Temperatura biorreactores (media),Humedad biorreactores (media),Temperatura centrifugas (media),Humedad centrifugas (media)
2023-03-21 07:30:00,2023-03-23 06:30:00,20.84965173106383,38.10991233914893,20.225966921489356,51.97364331531914,22.017798858085104,45.66376048659574,20.424523507021274,48.06360760425532
2023-03-21 07:30:00,2023-03-23 06:30:00,20.84965173106383,38.10991233914893,20.225966921489356,51.97364331531914,22.017798858085104,45.66376048659574,20.424523507021274,48.06360760425532
2023-03-22 07:30:00,2023-03-24 06:30:00,20.403429331276595,40.03100759595745,20.189516807446807,52.07092054893617,21.84092673382979,47.08636582723404,20.854294851489357,48.37011306553191
2023-03-22 07:30:00,2023-03-24 06:30:00,20.403429331276595,40.03100759595745,20.189516807446807,52.07092054893617,21.84092673382979,47.08636582723404,20.854294851489357,48.37011306553191
2023-03-28 07:27:00,2023-03-30 10:00:00,20.80557173490196,35.47706762941177,20.191262712549022,50.49962880509804,20.04545174901961,47.13956930764705,20.007275461568625,45.85575813352941
2023-03-28 07:24:00,2023-03-30 07:23:00,20.91716433625,35.713403065625,20.201656858125002,50.68482443333334,20.112187908333333,47.48115021125,20.094961705,45.99375802791667
2023-03-29 07:09:00,2023-03-31 07:29:00,20.224370803541667,37.073097662916666,20.1927933025,50.51678024124999,20.160127915625,48.59869403645834,20.1101722625,47.998522622083335
2023-03-29 07:29:00,2023-03-31 07:38:00,20.224370803541667,37.073097662916666,20.1927933025,50.51678024124999,20.160127915625,48.59869403645834,20.1101722625,47.998522622083335
2023-04-04 10:32:00,2023-04-06 12:30:00,22.0596782462,25.499433406999998,20.1303887554,41.641542347199994,21.5355164902,31.666334039599995,20.6429256592,31.866930246600006
2023-04-04 10:34:00,2023-04-06 12:32:00,22.0596782462,25.499433406999998,20.1303887554,41.641542347199994,21.5355164902,31.666334039599995,20.6429256592,31.866930246600006
2023-04-18 07:30:00,2023-04-20 07:30:00,23.14152496041667,32.58649715,20.219934392083335,48.75330001458334,21.561268262291666,43.20627954708334,20.357865246666666,43.693427891875
