24054|1454.315
24055|1617.3079
24056|1482.1168
24057|1374.0135
24058|1250.3696
24059|1372.7098
24060|1505.6993
24061|1468.254
24062|1259.3541
24063|965.292
24064|1409.7938
24065|1460.3271
24066|1252.4391
24067|1446.719
24068|1503.7045
24069|1555.8907
24070|1374.0652
24071|1250.2101
24072|1291.698
24073|1235.2198
24074|1292.248
24076|1308.481
24077|1320.4609
24078|1367.5398
24079|1109.6615
24080|1228.7583
24081|1325.1465
24082|1367.583
24083|1373.2563
24084|1369.8242
24085|1578.6157
24086|1428.767
24087|1261.7422
24088|1265.6316
24089|1424.2388
24090|1414.708
24091|1416.4458
24092|1471.9478
24093|1210.9879
24094|1132.2222
24095|1465.8484
24096|1249.0284
24097|1179.1023
24098|1460.5623
24099|1497.5709
24100|1464.8792
24101|1550.3794
24103|1429.2184
24104|1241.9541
24105|1251.8318
24106|1523.2068
24107|1475.5734
24108|1326.4248
24109|1460.6116
24110|1474.8585
